PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/w_atan2	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/w_fmod	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/w_log	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/w_log10	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/w_pow	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/Math/Double_precision/w_sqrt	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/ansi_fp	10	10+0	0
PowerPC_EABI_Support/src/MSL_C/MSL_Common_Embedded/math_sun	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/PPC_EABI/abort_exit_ppc_eabi	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/PPC_EABI/math_ppc	1	1+0	0
PowerPC_EABI_Support/src/MSL_C/PPC_EABI/uart_console_io_gcn	2	2+0	0
PowerPC_EABI_Support/src/MetroTRK/custconn/CircleBuffer	4	4+0	0
PowerPC_EABI_Support/src/MetroTRK/custconn/MWCriticalSection_gc	3	3+0	0
PowerPC_EABI_Support/src/MetroTRK/custconn/cc_gdev	10	10+0	0
PowerPC_EABI_Support/src/MetroTRK/dispatch	1	1+0	0
PowerPC_EABI_Support/src/MetroTRK/dolphin_trk	7	7+0	0
PowerPC_EABI_Support/src/MetroTRK/dolphin_trk_glue	13	13+0	0
PowerPC_EABI_Support/src/MetroTRK/flush_cache	1	1+0	0
PowerPC_EABI_Support/src/MetroTRK/main_TRK	1	1+0	0
PowerPC_EABI_Support/src/MetroTRK/mainloop	1	1+0	0
PowerPC_EABI_Support/src/MetroTRK/mem_TRK	2	2+0	0
PowerPC_EABI_Support/src/MetroTRK/mpc_7xx_603e	2	2+0	0
PowerPC_EABI_Support/src/MetroTRK/msg	1	1+0	0
PowerPC_EABI_Support/src/MetroTRK/msgbuf	15	15+0	0
PowerPC_EABI_Support/src/MetroTRK/msghndlr	13	13+0	0
PowerPC_EABI_Support/src/MetroTRK/mslsupp	5	5+0	0
PowerPC_EABI_Support/src/MetroTRK/notify	1	1+0	0
PowerPC_EABI_Support/src/MetroTRK/nubevent	5	5+0	0
PowerPC_EABI_Support/src/MetroTRK/nubinit	4	4+0	0
PowerPC_EABI_Support/src/MetroTRK/serpoll	5	5+0	0
PowerPC_EABI_Support/src/MetroTRK/string_TRK	1	1+0	0
PowerPC_EABI_Support/src/MetroTRK/support	5	5+0	0
PowerPC_EABI_Support/src/MetroTRK/targcont	1	1+0	0
PowerPC_EABI_Support/src/MetroTRK/target_options	2	2+0	0
PowerPC_EABI_Support/src/MetroTRK/targimpl	34	34+0	0
PowerPC_EABI_Support/src/Runtime/GCN_mem_alloc	1	1+0	0
PowerPC_EABI_Support/src/Runtime/Gecko_ExceptionPPC	10	10+0	0
PowerPC_EABI_Support/src/Runtime/MWRTTI	3	3+0	0
PowerPC_EABI_Support/src/Runtime/NMWException	8	8+0	0
PowerPC_EABI_Support/src/Runtime/__init_cpp_exceptions	2	2+0	0
PowerPC_EABI_Support/src/Runtime/__mem	4	4+0	0
PowerPC_EABI_Support/src/Runtime/__va_arg	1	1+0	0
PowerPC_EABI_Support/src/Runtime/global_destructor_chain	2	2+0	0
PowerPC_EABI_Support/src/Runtime/ptmf	3	3+0	0
PowerPC_EABI_Support/src/Runtime/runtime	13	13+0	0
RVL_SDK/src/revolution/ai/ai	12	12+0	0
RVL_SDK/src/revolution/arc/arc	12	12+0	0
RVL_SDK/src/revolution/ax/AX	3	3+0	0
RVL_SDK/src/revolution/ax/AXAlloc	10	10+0	0
RVL_SDK/src/revolution/ax/AXAux	23	23+0	0
RVL_SDK/src/revolution/ax/AXCL	14	14+0	0
RVL_SDK/src/revolution/ax/AXOut	13	11+0	2
RVL_SDK/src/revolution/ax/AXProf	1	1+0	0
RVL_SDK/src/revolution/ax/AXSPB	7	7+0	0
RVL_SDK/src/revolution/ax/AXVPB	15	15+0	0
RVL_SDK/src/revolution/axfx/AXFXChorusExp	7	3+0	4
RVL_SDK/src/revolution/axfx/AXFXChorusExpDpl2	7	3+0	4
RVL_SDK/src/revolution/axfx/AXFXDelayExp	7	7+0	0
RVL_SDK/src/revolution/axfx/AXFXDelayExpDpl2	7	6+0	1
RVL_SDK/src/revolution/axfx/AXFXHooks	4	4+0	0
RVL_SDK/src/revolution/axfx/AXFXLfoTable	1	1+0	0
RVL_SDK/src/revolution/axfx/AXFXReverbHi	3	3+0	0
RVL_SDK/src/revolution/axfx/AXFXReverbHiExp	7	7+0	0
RVL_SDK/src/revolution/axfx/AXFXReverbStdExp	10	8+0	2
RVL_SDK/src/revolution/axfx/AXFXReverbStdExpDpl2	10	8+0	2
RVL_SDK/src/revolution/axfx/AXFXSrcCoef	1	1+0	0
RVL_SDK/src/revolution/base/PPCArch	23	23+0	0
RVL_SDK/src/revolution/bte/bta/dm/bta_dm_act	56	53+0	3
RVL_SDK/src/revolution/bte/bta/dm/bta_dm_api	11	11+0	0
RVL_SDK/src/revolution/bte/bta/dm/bta_dm_main	2	2+0	0
RVL_SDK/src/revolution/bte/bta/dm/bta_dm_pm	8	5+0	3
RVL_SDK/src/revolution/bte/bta/hh/bta_hh_act	18	18+0	0
RVL_SDK/src/revolution/bte/bta/hh/bta_hh_api	8	8+0	0
RVL_SDK/src/revolution/bte/bta/hh/bta_hh_main	3	3+0	0
RVL_SDK/src/revolution/bte/bta/hh/bta_hh_utils	5	5+0	0
RVL_SDK/src/revolution/bte/bta/sys/bd	2	1+1	0
RVL_SDK/src/revolution/bte/bta/sys/bta_sys_conn	8	8+0	0
RVL_SDK/src/revolution/bte/bta/sys/bta_sys_main	9	9+0	0
RVL_SDK/src/revolution/bte/bta/sys/ptim	4	4+0	0
RVL_SDK/src/revolution/bte/bta/sys/utl	1	1+0	0
RVL_SDK/src/revolution/bte/gki/gki_buffer	18	18+0	0
RVL_SDK/src/revolution/bte/gki/gki_ppc	13	13+0	0
RVL_SDK/src/revolution/bte/gki/gki_time	8	8+0	0
RVL_SDK/src/revolution/bte/hci/hcisu_h2	8	6+0	2
RVL_SDK/src/revolution/bte/hci/uusb_ppc	11	6+2	3
RVL_SDK/src/revolution/bte/main/bte_hcisu	4	4+0	0
RVL_SDK/src/revolution/bte/main/bte_init	1	1+0	0
RVL_SDK/src/revolution/bte/main/bte_logmsg	8	8+0	0
RVL_SDK/src/revolution/bte/main/bte_main	4	4+0	0
RVL_SDK/src/revolution/bte/main/btu_task1	4	4+0	0
RVL_SDK/src/revolution/bte/stack/btm/btm_acl	29	25+3	1
RVL_SDK/src/revolution/bte/stack/btm/btm_dev	7	7+0	0
RVL_SDK/src/revolution/bte/stack/btm/btm_devctl	33	33+0	0
RVL_SDK/src/revolution/bte/stack/btm/btm_discovery	3	3+0	0
RVL_SDK/src/revolution/bte/stack/btm/btm_inq	25	20+1	4
RVL_SDK/src/revolution/bte/stack/btm/btm_main	1	1+0	0
